numero_ordine,ean,sku,quantita,titolo,data_ordine,destinatario,azienda,indirizzo,cap,citta,provincia,codice_paese,telefono,email,note
RLB-BATCH-001,SHOPIFY-57783761273219,,1,Batteria ibrida Lexus CT 200h 2010-2012 Standard,2026-08-31,Marco Bianchi,,Via Roma 12,20121,Milano,MI,IT,3332001001,marco.bianchi@example.com,Test Galluse Relifebattery
RLB-BATCH-001,SHOPIFY-57783761568131,,1,Batteria ibrida Lexus GS 300h 2013-2019 Standard,2026-08-31,Marco Bianchi,,Via Roma 12,20121,Milano,MI,IT,3332001001,marco.bianchi@example.com,Test Galluse Relifebattery
RLB-BATCH-001,SHOPIFY-57783761895811,,1,Batteria ibrida Lexus GS 450h 2005-2011 Standard,2026-08-31,Marco Bianchi,,Via Roma 12,20121,Milano,MI,IT,3332001001,marco.bianchi@example.com,Test Galluse Relifebattery
RLB-BATCH-002,SHOPIFY-57783761469827,,1,Batteria ibrida Lexus IS 300h 2013-2019 Standard,2026-08-31,Giulia Romano,,Corso Francia 18,10138,Torino,TO,IT,3332001002,giulia.romano@example.com,Test Galluse Relifebattery
RLB-BATCH-002,SHOPIFY-57783761830275,,1,Batteria ibrida Lexus NX 300h 2014-2021 Standard,2026-08-31,Giulia Romano,,Corso Francia 18,10138,Torino,TO,IT,3332001002,giulia.romano@example.com,Test Galluse Relifebattery
RLB-BATCH-002,SHOPIFY-57783761305987,,1,Batteria ibrida Lexus UX 250h 2019-oggi Standard,2026-08-31,Giulia Romano,,Corso Francia 18,10138,Torino,TO,IT,3332001002,giulia.romano@example.com,Test Galluse Relifebattery
RLB-BATCH-003,SHOPIFY-57783761109379,,1,Batteria ibrida Toyota Auris 1 2010-2013 Standard,2026-08-31,Luca Ferri,,Via Garibaldi 7,40121,Bologna,BO,IT,3332001003,luca.ferri@example.com,Test Galluse Relifebattery
RLB-BATCH-003,SHOPIFY-57783761142147,,1,Batteria ibrida Toyota Auris 2 2014-2019 Standard,2026-08-31,Luca Ferri,,Via Garibaldi 7,40121,Bologna,BO,IT,3332001003,luca.ferri@example.com,Test Galluse Relifebattery
RLB-BATCH-003,SHOPIFY-57783761273219,,1,Batteria ibrida Lexus CT 200h 2010-2012 Standard,2026-08-31,Luca Ferri,,Via Garibaldi 7,40121,Bologna,BO,IT,3332001003,luca.ferri@example.com,Test Galluse Relifebattery
RLB-BATCH-004,SHOPIFY-57783761568131,,1,Batteria ibrida Lexus GS 300h 2013-2019 Standard,2026-08-31,Sara Conti,,Via Indipendenza 24,40121,Bologna,BO,IT,3332001004,sara.conti@example.com,Test Galluse Relifebattery
RLB-BATCH-004,SHOPIFY-57783761895811,,1,Batteria ibrida Lexus GS 450h 2005-2011 Standard,2026-08-31,Sara Conti,,Via Indipendenza 24,40121,Bologna,BO,IT,3332001004,sara.conti@example.com,Test Galluse Relifebattery
RLB-BATCH-004,SHOPIFY-57783761469827,,1,Batteria ibrida Lexus IS 300h 2013-2019 Standard,2026-08-31,Sara Conti,,Via Indipendenza 24,40121,Bologna,BO,IT,3332001004,sara.conti@example.com,Test Galluse Relifebattery
RLB-BATCH-005,SHOPIFY-57783761830275,,1,Batteria ibrida Lexus NX 300h 2014-2021 Standard,2026-08-31,Andrea Esposito,,Via Toledo 91,80134,Napoli,NA,IT,3332001005,andrea.esposito@example.com,Test Galluse Relifebattery
RLB-BATCH-005,SHOPIFY-57783761305987,,1,Batteria ibrida Lexus UX 250h 2019-oggi Standard,2026-08-31,Andrea Esposito,,Via Toledo 91,80134,Napoli,NA,IT,3332001005,andrea.esposito@example.com,Test Galluse Relifebattery
RLB-BATCH-005,SHOPIFY-57783761109379,,1,Batteria ibrida Toyota Auris 1 2010-2013 Standard,2026-08-31,Andrea Esposito,,Via Toledo 91,80134,Napoli,NA,IT,3332001005,andrea.esposito@example.com,Test Galluse Relifebattery
RLB-BATCH-006,SHOPIFY-57783761142147,,1,Batteria ibrida Toyota Auris 2 2014-2019 Standard,2026-08-31,Elena Moretti,,Via Dante 30,16121,Genova,GE,IT,3332001006,elena.moretti@example.com,Test Galluse Relifebattery
RLB-BATCH-006,SHOPIFY-57783761273219,,1,Batteria ibrida Lexus CT 200h 2010-2012 Standard,2026-08-31,Elena Moretti,,Via Dante 30,16121,Genova,GE,IT,3332001006,elena.moretti@example.com,Test Galluse Relifebattery
RLB-BATCH-006,SHOPIFY-57783761568131,,1,Batteria ibrida Lexus GS 300h 2013-2019 Standard,2026-08-31,Elena Moretti,,Via Dante 30,16121,Genova,GE,IT,3332001006,elena.moretti@example.com,Test Galluse Relifebattery
RLB-BATCH-007,SHOPIFY-57783761895811,,1,Batteria ibrida Lexus GS 450h 2005-2011 Standard,2026-08-31,Davide Ricci,,Viale Europa 45,50126,Firenze,FI,IT,3332001007,davide.ricci@example.com,Test Galluse Relifebattery
RLB-BATCH-007,SHOPIFY-57783761469827,,1,Batteria ibrida Lexus IS 300h 2013-2019 Standard,2026-08-31,Davide Ricci,,Viale Europa 45,50126,Firenze,FI,IT,3332001007,davide.ricci@example.com,Test Galluse Relifebattery
